漢字;裏
一;"【小】ひと
【小】ひと（つ）
【△】はじ（め）
【小】イチ
【小】イツ

意味：ひとつ。
ひとたび。いちど。
はじめ。最初。物事のいち番目。
同じ。等しい。
ひとつにする。同じにする。
すべて。全部。
もっぱら。ひたすら。
すこし。わずか。ちょっと。
あるひとつの。
あるとき。ある時間。
あるいは。または。
なんと。まったく。"
乙;"【△】 おと
【△】 きのと
【中】 オツ
【△】 イツ

意味：十干（じっかん）の二番目。きのと。五行では木。方位では東。
順位の二番目。第二位。
つばめ。例：乙鳥（いつちょう）
[日本] 邦楽で、甲よりも一段低い音。
[日本] 幼い。若い。
[日本] しゃれているさま。気がきいているさま。"
九;"【小】 ここの
【小】 ここの（つ）
【△】 あまた
【小】 キュウ
【小】 ク

意味：ここの。ここのつ。数の名。
ここのたび。くど。きゅうど。きゅう回目。
あまた。たくさん。おおい。なんども。
あつまる。あつめる。あわせる。"
七;"【小】 なな
【小】 なな（つ）
【小】 なの
【小】 シチ
【△】 シツ

意味：ななつ。なな番目。ななつ目。
ななかい。しちど。ななど。また、何度も。何回も。"
十;"【小】 と
【小】 とお
【小】 ジッ
【小】 ジュウ
【△】 ジュッ

意味：と。とお。数の名。
とたび。じゅっかい。じゅうど。
じゅう番目。
多数。数が多い。
完全。満ち足りている。"
人;"【小】 ひと
【小】 ジン
【小】 ニン

意味：ひと。にんげん。人類。
ひと。他人。
ひとりひとり。人ごとに。
ひとを数えることば。例：一人（ひとり） 二人（ふたり）"
二;"【小】 ふた
【小】 ふた（つ）
【小】 ニ
【△】 ジ

意味：ふた。ふたつ。数の名。
ふたたび。再度。
ふたつめ。つぎ。つぎの。
別の。違った。ふたごころ。
うたがう。そむく。"
入;"【小】 い（る）
【小】 い（れる）
【小】 はい（る）
【△】 しお
【小】 ニュウ
【△】 ジュ
【△】 ジュウ

意味：いる。いれる。はいる。中にはいる。
いれる。受けいれる。おさめる。
いり。実いり。収入（しゅうにゅう）。
漢字の四声（シセイ）のひとつ入声（ニッショウ）。
[日本] しお。物を染色するときに、染料につける回数を数える言葉。"
八;"【小】 や
【小】 や（つ）
【小】 やっ（つ）
【小】 よう
【小】 ハチ

意味：や。やつ。やっつ。よう。数の名。
やたび。はちど。はちかい。はっかい。
順序のはち番目。
わける。わかれる。
[日本] やつ。昔の時刻の呼び方で現在の午前二時ごろ、または午後二時ごろ。"
力;"【小】 ちから
【△】 つと（める）
【△】 りき（む）
【小】 リキ
【小】 リョク

意味：ちから。体の筋肉などのはたらき。
ちから。才能。例：力量（りきりょう） 能力のうりょく
ちから。勢い。例：勢力（せいりょく）
つとめる。はげむ。例：努力（どりょく） 尽力（じんりょく）
[日本] りきむ。ちからをいれる。
[日本] りき。ちからの量、また仕事量の単位。例：百人力（ひゃくにんりき）"
刀;"【小】 かたな
【小】 トウ

意味：かたな。刃物。
かたなの形をした古銭の名。
ふね。小さいふね。小舟。"
丁;"【△】 あ（たる）
【△】 ひのと
【小】 チョウ [１] [２]
【中】 テイ [１]
【△】 トウ [２]

意味：[１] 十干（じっかん）の四番目。ひのと。五行では火。方位では南。
[１] つよい。さかん。
[１] 働き盛りの男性。壮年の男性。
[１] しもべ。下働き、雑用の男性。
[１] あたる。出遭う。遭遇する。
[１] よほろ（よぼろ）。公用に徴発された男子。
[２] 斧などで木を切る音。
[日本] 書物の枚数を数える語。
[日本] 町を細かく分けた区分。 例：二丁目
[日本] 長さ・面積の単位。「町」とも。一丁は六十間。約１０９メートル。
[日本] サイコロの目での偶数。 例：丁（ちょう）か半（はん）か。
[日本] 国名「丁抹（デンマーク）」の略。
[日本] 豆腐・拳銃などを数える語。
[日本] 飲食物を数える語。 例：一丁あがり"
又;"【中】 また
【△】 ふたた（び）
【△】 ウ
【△】 ユウ

意味：また。さらに。そのうえ。
また。ふたたび。
みぎ。右の手。
ゆるす。＝宥
[日本] または。あるいは。もしくは。"
了;"【△】 お（わる）
【△】 さと（る）
【△】 しま（う）
【中】 リョウ

意味：おわる。おえる。済む。物事の始末がつく。
さとる。よくわかる。はっきりとわかる。
まったく。少しも。さっぱり。"
下;"【小】 お（りる）
【小】 お（ろす）
【小】 くだ（さる）
【小】 くだ（す）
【小】 くだ（る）
【小】 さ（がる）
【小】 さ（げる）
【小】 した
【小】 しも
【中】 もと
【小】 カ
【小】 ゲ

意味：した。しも。位置・地位・価値・年齢などが低い。劣っている。
した。しも。時間・順序・物事の流れの後の方。
さがる。さげる。くだる。高い所から低い所へ移動する。
もと。ある者のした。支配の範囲。
くだす。命令を出す。
くだす。手をくだす。物事を行う。"
口;"【小】 くち
【小】 ク
【小】 コウ

意味：くち。飲食や発声をする器官。
人や物が出入りするところ。
しゃべる。くちに出す。また、そのことば。
人や家を数えることば。
くちずから。自分のくちで。自分の言葉で。
刀剣を数えることば。
[日本] くち。分割されたものを一つとして数える単位。例：寄付は一口（ひとくち）千円
[日本] くち。物事の分類。種類。例：甘口（あまくち） 別口（べつくち）
[日本] くち。勤め先。仕事先。また、嫁入り先。例：就職口（しゅうしょくぐち）
[日本] 物事のはじめ。はし。例：序の口（じょのくち）"
三;"【小】 み
【小】 み（つ）
【小】 みっ（つ）
【小】 サン

意味：みっつ。
みたび。さんど。
みっつ目。さん番目。
たびたび。何度も。"
山;"【小】 やま
【小】 サン
【△】 セン

意味：やま。高く盛り上がった場所や地形。また、そのような形をしたもの。
寺院。寺院の名につける語。
土を盛ってつくった墓。
[日本] やま。物事の関心が最も高まる所。最高潮。
[日本] やま。「山をはる」「山をかける」は万一の幸運をねらうこと。
[日本] やま。比叡山（ひえいざん）の延暦寺（えんりゃくじ）のこと。"
子;"【小】 こ
【△】 おとこ
【△】 ね
【△】 み
【小】 シ
【小】 ス

意味：こ。こども。親から生まれたこども。
おとこ。男の子。男の子を「子」、女の子を「女」とする用法の場合。
成人男性の敬称。
先生や師、学問や地位のある人に対する敬称。
思想家。学問に精通する人。また、その著書やその思想、学問についての書物。
み。たね。果実。また、生物のたまご。
小さいもの。細かいもの。
五等級の爵位（公・侯・伯・子・男）の四番目。
ね。十二支の一番目。方位では北。時刻では夜の十二時、および前後の二時間。動物では鼠（ねずみ）。
[日本] こ。女性の名に用いる。"
女;"【小】 おんな
【中】 め
【△】 なんじ
【△】 むすめ
【△】 めあ（わせる）
【小】 ジョ [１] [２] [３]
【中】 ニョ [１] [２] [３]
【高】 ニョウ [１]

意味：[１] おんな。め。女性。
[１] むすめ。女の子。
[１] むすめ。若い未婚の女性。
[１] 二十八宿の一つ。うるきぼし。
[１] 小さくかよわいもの。
[２] なんじ。おまえ。＝汝
[３] めあわせる。とつがせる。嫁にやる。"
小;"【小】 お
【小】 こ
【小】 ちい（さい）
【△】 さ
【小】 ショウ

意味：ちいさい。程度がちいさい。数や量がすくない。
つまらない。とるにたりない。
幼い人。若い人。
自分に関することをへりくだっていうことば。
[日本] こ。お。さ。「ちいさい」「わずかの」などの意を表したり、語調を整えたりするための接頭語。"
上;"【小】 あ（がる）
【小】 あ（げる）
【小】 うえ
【小】 うわ
【小】 かみ
【小】 のぼ（る）
【中】 のぼ（す）
【中】 のぼ（せる）
【△】 たてまつ（る）
【△】 ほとり
【小】 ジョウ
【高】 ショウ

意味：あがる。あげる。のぼる。低い所から高い所へ移動する。
うえ。うわ。かみ。位置・地位・価値・年齢・などが高い。すぐれている。
かみ。時間・順序・物事の流れなどの前の方。
たてまつる。さしあげる。献上する。
のぼる。中央へ行く。
おかみ。人の妻。女主人。"
夕;"【小】 ゆう
【△】 ゆう（べ）
【中】 セキ

意味：ゆう。ゆうべ。夕方。日暮れ。
夜。
年や月の末。"
千;"【小】 ち
【小】 セン

意味：せん。ち。数の名。十の百倍。
ちたび。せん回。せんど。
たくさん。数が多いことを表す。"
川;"【小】 かわ
【中】 セン

意味：かわ。水の流れ。水流。"
大;"【小】 おお
【小】 おお（いに）
【小】 おお（きい）
【小】 タイ
【小】 ダイ
【△】 タ
【△】 ダ

意味：おおきい。程度がおおきい。数や量がおおい。
おおきい。すぐれている。立派。
おおいに。はなはだ。非常に。
おごる。態度が大きい。態度が横柄。
おおよそ。おおむね。だいたい。
他人を敬い上にそえることば。
[日本] 尊敬や広大などの意の接頭語。"
土;"【小】 つち
【小】 ト
【小】 ド

意味：つち。地面。土壌。
土地。領地。大地。
いなか。ふるさと。地方。
五行の一つ。方位では中央。色では黄。
はかる。＝度
焼いたつちで作られた楽器。八音（「金」「石」「糸」「竹」「匏」「土」「革」「木」）の一つ。
[日本] ど。土曜日。七曜のひとつ。
[日本] 国名「土耳古（トルコ）」の略。"
丸;"【小】 まる
【小】 まる（い）
【小】 まる（める）
【△】 たま
【小】 ガン

意味：まる。まるい。円形。球形。
まるめる。まるくする。
まるまる。全部。完全に。
たま。鉄砲や弓などのたま。
「～丸」など人や船の名に添える。"
弓;"【小】 ゆみ
【中】 キュウ

意味：ゆみ。矢を射る道具。
ゆみなり。ゆみのような形。
長さの単位。一弓は六尺（一説に八尺、また五尺とも）。"
工;"【△】 たくみ
【△】 たく（む）
【△】 わざ
【小】 ク
【小】 コウ

意味：たくみ。わざ。技術。
たくみ。すぐれた技術で物をつくる職人。
たくむ。作る。細工をする。"
才;"【△】 かど
【△】 ざえ
【小】 サイ

意味：生まれつきもっている能力。素質。
はたらき。能力。知恵。
わずか。わずかに。たった。そればかり。ようやく。やっと。＝纔
[日本] 「歳」の代わりに、年齢を示す字として用いられる。"
万;"【△】 よろず
【小】 マン
【中】 バン

意味：数の名。千の十倍。
よろず。すべて。すべての。数が非常に多い。
決して。絶対に。どんなことがあっても。
さそり。毒虫。"
士;"【△】 さむらい
【小】 シ

意味：おとこ。成人男性。
役人。特に中堅層の役人や裁判をつかさどる役人。
職務をこなす。また、仕官する。
学問や知識のすぐれた人。
立派な男性。男性の美称。
[日本] さむらい。武士。
[日本] ある資格や技能を持つ人。"
久;"【小】 ひさ（しい）
【小】 キュウ
【高】 ク

意味：ひさしい。長い。時間が長い。
ひさしい。古くからの。昔からの。
ひさしくする。時間を長くかける。長い間そのままにする。"
干;"【小】 ほ（す）
【中】 ひ（る）
【△】 おか（す）
【△】 かか（わる）
【△】 たて
【△】 もと（める）
【小】 カン

意味：ほす。かわかす。水分を取り除く。
ひる。かわく。水分がなくなる。
おかす。道理に反した行いをする。
かかわる。関係する。関与する。
もとめる。手に入れようとする。欲しがる。
たて。身を守る防具。
十干（じっかん）のこと。"
己;"【中】 おのれ
【△】 つちのと
【小】 コ
【中】 キ

意味：おのれ。自分。私。
十干（じっかん）の六番目。つちのと。五行では土。方位では中央。
[日本] おのれ。相手をののしって呼ぶことば。"
寸;"【△】 き
【△】 わず（か）
【小】 スン
【△】 ソン

意味：長さの単位。一尺の十分の一。
わずか。すこし。みじかい。
[日本] とき。「時」を省略した字として用いる。
[日本] き。馬のたけをはかるのに用いられる単位。"
亡;"【高】 な（い）
【△】 うしな（う）
【△】 に（げる）
【△】 ほろ（びる）
【△】 ほろ（ぼす）
【小】 ボウ [１]
【高】 モウ [１]
【△】 ブ [２]
【△】 ム [２]

意味：[１] うしなう。なくす。なくなる。
[１] ない。なくなる。死ぬ。
[１] ほろびる。ほろぼす。なくなる。
[１] にげる。逃げ去る。逃げて隠れる。
[１] わすれる。＝忘
[２] ない。＝無"
及;"【中】 およ（び）
【中】 およ（ぶ）
【中】 およ（ぼす）
【中】 キュウ

意味：および。ならびに。ふたつ以上のものを並列させる。
およぶ。いたる。追いつく。達する。
およぼす。行きわたる。行きわたらせる。"
丈;"【中】 たけ
【中】 ジョウ

意味：たけ。身長。
はかる。土地を測る。
長さの単位。一丈は十尺。日本での１丈は約３０３センチメートル。
老人・長老などを敬って呼ぶ語。
歌舞伎役者の芸名につける敬称。
助詞の「たけ」「だけ」に当てて用いられる字。"
凡;"【△】 およ（そ）
【△】 すべ（て）
【△】 なみ
【中】 ボン
【高】 ハン

意味：およそ。おおよそ。おおかた。あらまし。
すべて。あらゆる。みな。
なみ。普通。一般的。あたりまえ。"
与;"【中】 あた（える）
【△】 あずか（る）
【△】 くみ（する）
【中】 ヨ [１] [２] [３]

意味：[１] あたえる。
[１] くみする。力をあわせる。仲間になる。味方になる。
[１] ともに。いっしょに。つれだって。
[１] 「～と」と読み、並列の意を表す。
[１] 「～と」と読み、動作の対象を示す意を表わす。
[１] 「～より」と読み、比較の意を表す。
[２] あずかる。かかわる。関係する。参加する。
[３] 「か」と読み、疑問の意を表わす。
[３] 「や」と読み、反語の意を表わす。
[３] 「か」「かな」と読み、詠嘆を表す。"
刃;"【中】 は
【△】 き（る）
【△】 やいば
【高】 ジン
【△】 ニン

意味：は。やいば。刀などの鋭い部分。
きる。刀などで切る。切り殺す。"
巾;"【△】 きれ
【△】 はば
【△】 ふきん
【中】 キン

意味：きれ。ふきん。布きれ。
おおい。ずきん。布でできたかぶり物。
おおう。かぶせる。つつむ。
[日本] はば。「幅」の代わりに用いられる字。"
乞;"【中】 こ（う）
【△】 キ [２]
【△】 キツ [１]
【△】 コツ [１]

意味：[１] こう。ねだる。求める。要求する。
[１] 物ごいをする。ものもらい。
[２] 与える。"
