JIS水準,Unicode,学年,意味,漢字,漢字検定,画数,異体字※,種別,訓読み,部首,音読み,
JIS第１水準,U+4E00,小学校１年生,"ひとつ。
ひとたび。いちど。
はじめ。最初。物事のいち番目。
同じ。等しい。
ひとつにする。同じにする。
すべて。全部。
もっぱら。ひたすら。
すこし。わずか。ちょっと。
あるひとつの。
あるとき。ある時間。
あるいは。または。
なんと。まったく。",一,１０級,１画,弌,教育漢字 常用漢字,"【小】ひと
【小】ひと（つ）
【△】はじ（め）",一 （いち）,"【小】イチ
【小】イツ",
JIS第１水準,U+4E59,,"十干（じっかん）の二番目。きのと。五行では木。方位では東。
順位の二番目。第二位。
つばめ。例：乙鳥（いつちょう）
[日本] 邦楽で、甲よりも一段低い音。
[日本] 幼い。若い。
[日本] しゃれているさま。気がきいているさま。",乙,３級,１画,,常用漢字,"【△】 おと
【△】 きのと",乙 乚 （おつ・おつにょう・つりばり）,"【中】 オツ
【△】 イツ",
JIS第１水準,U+4E5D,小学校１年生,"ここの。ここのつ。数の名。
ここのたび。くど。きゅうど。きゅう回目。
あまた。たくさん。おおい。なんども。
あつまる。あつめる。あわせる。",九,１０級,２画,,教育漢字 常用漢字,"【小】 ここの
【小】 ここの（つ）
【△】 あまた",乙 乚 （おつ・おつにょう・つりばり）,"【小】 キュウ
【小】 ク",
JIS第１水準,U+4E03,小学校１年生,"ななつ。なな番目。ななつ目。
ななかい。しちど。ななど。また、何度も。何回も。",七,１０級,２画,,教育漢字 常用漢字,"【小】 なな
【小】 なな（つ）
【小】 なの",一 （いち）,"【小】 シチ
【△】 シツ",
JIS第１水準,U+5341,小学校１年生,"と。とお。数の名。
とたび。じゅっかい。じゅうど。
じゅう番目。
多数。数が多い。
完全。満ち足りている。",十,１０級,２画,,教育漢字 常用漢字,"【小】 と
【小】 とお",十 （じゅう）,"【小】 ジッ
【小】 ジュウ
【△】 ジュッ",
JIS第１水準,U+4EBA,小学校１年生,"ひと。にんげん。人類。
ひと。他人。
ひとりひとり。人ごとに。
ひとを数えることば。例：一人（ひとり） 二人（ふたり）",人,１０級,２画,,教育漢字 常用漢字,【小】 ひと,人 亻 （ひと・にんべん・ひとがしら・ひとやね）,"【小】 ジン
【小】 ニン",
JIS第１水準,U+4E8C,小学校１年生,"ふた。ふたつ。数の名。
ふたたび。再度。
ふたつめ。つぎ。つぎの。
別の。違った。ふたごころ。
うたがう。そむく。",二,１０級,２画,弍,教育漢字 常用漢字,"【小】 ふた
【小】 ふた（つ）",二 （に）,"【小】 ニ
【△】 ジ",
JIS第１水準,U+5165,小学校１年生,"いる。いれる。はいる。中にはいる。
いれる。受けいれる。おさめる。
いり。実いり。収入（しゅうにゅう）。
漢字の四声（シセイ）のひとつ入声（ニッショウ）。
[日本] しお。物を染色するときに、染料につける回数を数える言葉。",入,１０級,２画,,教育漢字 常用漢字,"【小】 い（る）
【小】 い（れる）
【小】 はい（る）
【△】 しお",入 （いる・にゅう・いりがしら・いりやね）,"【小】 ニュウ
【△】 ジュ
【△】 ジュウ",
JIS第１水準,U+516B,小学校１年生,"や。やつ。やっつ。よう。数の名。
やたび。はちど。はちかい。はっかい。
順序のはち番目。
わける。わかれる。
[日本] やつ。昔の時刻の呼び方で現在の午前二時ごろ、または午後二時ごろ。",八,１０級,２画,,教育漢字 常用漢字,"【小】 や
【小】 や（つ）
【小】 やっ（つ）
【小】 よう",八 （はち・はちがしら・は）,【小】 ハチ,
JIS第１水準,U+529B,小学校１年生,"ちから。体の筋肉などのはたらき。
ちから。才能。例：力量（りきりょう） 能力のうりょく
ちから。勢い。例：勢力（せいりょく）
つとめる。はげむ。例：努力（どりょく） 尽力（じんりょく）
[日本] りきむ。ちからをいれる。
[日本] りき。ちからの量、また仕事量の単位。例：百人力（ひゃくにんりき）",力,１０級,２画,,教育漢字 常用漢字,"【小】 ちから
【△】 つと（める）
【△】 りき（む）",力 （ちから）,"【小】 リキ
【小】 リョク",
JIS第１水準,U+5200,小学校２年生,"かたな。刃物。
かたなの形をした古銭の名。
ふね。小さいふね。小舟。",刀,９級,２画,釖,教育漢字 常用漢字,【小】 かたな,刀 刂 （かたな・りっとう）,【小】 トウ,
JIS第１水準,U+4E01,小学校３年生,"[１] 十干（じっかん）の四番目。ひのと。五行では火。方位では南。
[１] つよい。さかん。
[１] 働き盛りの男性。壮年の男性。
[１] しもべ。下働き、雑用の男性。
[１] あたる。出遭う。遭遇する。
[１] よほろ（よぼろ）。公用に徴発された男子。
[２] 斧などで木を切る音。
[日本] 書物の枚数を数える語。
[日本] 町を細かく分けた区分。 例：二丁目
[日本] 長さ・面積の単位。「町」とも。一丁は六十間。約１０９メートル。
[日本] サイコロの目での偶数。 例：丁（ちょう）か半（はん）か。
[日本] 国名「丁抹（デンマーク）」の略。
[日本] 豆腐・拳銃などを数える語。
[日本] 飲食物を数える語。 例：一丁あがり",丁,８級,２画,,教育漢字 常用漢字,"【△】 あ（たる）
【△】 ひのと",一 （いち）,"【小】 チョウ [１] [２]
【中】 テイ [１]
【△】 トウ [２]",
JIS第１水準,U+53C8,,"また。さらに。そのうえ。
また。ふたたび。
みぎ。右の手。
ゆるす。＝宥
[日本] または。あるいは。もしくは。",又,３級,２画,,常用漢字,"【中】 また
【△】 ふたた（び）",又 （また）,"【△】 ウ
【△】 ユウ",
JIS第１水準,U+4E86,,"おわる。おえる。済む。物事の始末がつく。
さとる。よくわかる。はっきりとわかる。
まったく。少しも。さっぱり。",了,３級,２画,,常用漢字,"【△】 お（わる）
【△】 さと（る）
【△】 しま（う）",亅 （はねぼう・かぎ）,【中】 リョウ,
JIS第１水準,U+4E0B,小学校１年生,"した。しも。位置・地位・価値・年齢などが低い。劣っている。
した。しも。時間・順序・物事の流れの後の方。
さがる。さげる。くだる。高い所から低い所へ移動する。
もと。ある者のした。支配の範囲。
くだす。命令を出す。
くだす。手をくだす。物事を行う。",下,１０級,３画,丅,教育漢字 常用漢字,"【小】 お（りる）
【小】 お（ろす）
【小】 くだ（さる）
【小】 くだ（す）
【小】 くだ（る）
【小】 さ（がる）
【小】 さ（げる）
【小】 した
【小】 しも
【中】 もと",一 （いち）,"【小】 カ
【小】 ゲ",
